,Unnamed: 0,patrimonio,fecha_cierre,id
126,126,12.111362874674317,2022-07-31,20374
127,127,10.903881297874506,2022-07-31,5485
128,128,9.433279982495884,2022-07-31,22734
129,129,9.863048713769,2022-07-31,11297
130,130,9.187841561241845,2022-07-31,1000
131,131,8.812240871060515,2022-07-31,21409
132,132,11.557259448431465,2022-07-31,26281
133,133,8.561251607071098,2022-07-31,24964
134,134,10.98090720529354,2022-07-31,31323
135,135,11.858802273998174,2022-07-31,1384
136,136,11.891793574629158,2022-07-31,27277
137,137,9.001797460661143,2022-07-31,36974
138,138,11.98268348805724,2022-07-31,10164
139,139,11.817895745699804,2022-07-31,19531
140,140,9.928987936352437,2022-07-31,20851
141,141,8.202258037837135,2022-07-31,7363
142,142,9.363846248819817,2022-07-31,14381
143,143,12.169335743147432,2022-07-31,25586
